全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.49
1.16
1.98
2.59
3.05
3.49
2.80
2.74
2.42
1.71
0.90
0.42
0.00
0.00
0.00
0.00
0.00
0.00
