全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.57
1.22
1.88
1.41
2.79
3.09
3.13
3.00
2.46
1.73
1.00
0.21
0.00
0.00
0.00
0.00
0.00
0.00
