全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.38
0.83
1.25
1.52
1.14
0.86
0.60
0.51
0.26
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
