全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.25
0.89
1.68
2.00
2.11
1.87
2.04
2.10
1.87
1.36
0.44
0.00
0.00
0.00
0.00
0.00
0.00
0.00
