全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.72
1.37
2.02
2.37
3.04
3.41
3.46
3.00
2.70
2.07
0.88
0.38
0.00
0.00
0.00
0.00
0.00
0.00
