全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.60
0.96
2.25
2.44
2.85
2.97
2.36
1.97
2.02
1.04
0.56
0.00
0.00
0.00
0.00
0.00
0.00
