全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.58
1.35
2.09
2.75
3.01
3.60
3.60
3.07
2.76
2.13
1.22
0.46
0.00
0.00
0.00
0.00
0.00
0.00
