全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.53
1.22
2.05
2.47
3.04
3.42
3.25
3.00
2.71
1.95
0.86
0.63
0.07
0.00
0.00
0.00
0.00
0.00
