全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.29
1.02
1.79
2.49
2.95
2.66
1.96
1.69
1.12
0.90
0.60
0.03
0.00
0.00
0.00
0.00
0.00
0.00
