全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.48
1.09
1.94
2.50
3.05
3.39
3.00
2.99
2.48
1.81
0.88
0.30
0.00
0.00
0.00
0.00
0.00
0.00
