全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.43
1.12
1.70
2.27
1.68
1.10
1.23
1.66
1.21
0.56
0.00
0.00
0.00
0.00
0.00
0.00
0.00
