全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.05
0.57
1.20
2.05
1.47
2.02
2.57
3.19
3.02
2.32
1.87
1.04
0.20
0.00
0.00
0.00
0.00
0.00
0.00
