全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.45
1.13
1.65
2.39
3.00
3.10
3.15
2.71
2.44
2.14
1.15
0.43
0.00
0.00
0.00
0.00
0.00
0.00
