全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.17
1.00
1.77
2.02
1.91
2.12
1.80
1.23
0.41
0.06
0.00
0.00
0.00
0.00
0.00
0.00
0.00
