全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.07
0.90
2.49
2.61
0.86
1.28
0.75
0.60
0.51
0.00
0.00
0.00
0.00
0.00
0.00
0.00
