全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.27
1.01
1.24
1.49
2.15
1.46
0.61
0.60
0.25
0.17
0.00
0.00
0.00
0.00
0.00
0.00
0.00
