全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.25
0.93
1.68
2.36
2.84
3.00
3.00
2.56
2.02
1.12
0.50
0.00
0.00
0.00
0.00
0.00
0.00
0.00
