全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.33
0.96
1.65
2.12
2.39
2.30
2.32
1.86
0.73
0.18
0.00
0.00
0.00
0.00
0.00
0.00
0.00
