全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.19
0.74
1.47
2.35
2.10
2.85
2.28
2.78
2.37
1.59
0.96
0.34
0.00
0.00
0.00
0.00
0.00
0.00
