全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.11
0.34
0.79
0.05
0.44
0.60
0.60
0.43
0.08
0.00
0.00
0.00
0.00
0.00
0.00
