全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.21
0.14
0.01
1.34
1.11
2.60
2.90
2.70
1.75
1.15
0.36
0.00
0.00
0.00
0.00
0.00
0.00
0.00
