全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.08
0.48
1.03
2.45
2.63
2.12
2.51
2.45
1.59
0.92
0.27
0.00
0.00
0.00
0.00
0.00
0.00
