全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.21
0.60
0.72
0.64
0.92
1.30
1.26
0.65
0.18
0.00
0.00
0.00
0.00
0.00
0.00
0.00
