全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.12
0.75
1.44
2.01
2.40
2.40
2.40
2.22
1.58
0.87
0.12
0.00
0.00
0.00
0.00
0.00
0.00
0.00
