全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.33
0.85
1.25
0.97
1.20
1.54
0.93
0.88
0.08
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
