全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.58
1.49
1.95
2.01
2.32
2.39
2.68
2.05
1.42
0.94
0.18
0.00
0.00
0.00
0.00
0.00
0.00
