全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.26
1.08
1.45
0.99
1.20
1.02
0.77
0.93
0.64
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
