全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.34
1.03
1.84
2.40
3.00
3.00
3.00
2.65
2.12
1.22
0.63
0.01
0.00
0.00
0.00
0.00
0.00
0.00
