全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.21
0.52
0.87
0.87
0.90
1.13
1.54
0.62
0.64
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
