全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.32
0.75
2.03
2.61
2.89
3.34
3.46
2.89
2.60
1.91
1.04
0.39
0.00
0.00
0.00
0.00
0.00
0.00
