全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.42
1.16
2.36
3.05
3.19
3.04
1.00
2.35
2.40
1.20
0.60
0.23
0.00
0.00
0.00
0.00
0.00
0.00
