全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.48
1.11
1.98
2.45
2.90
3.08
3.02
2.54
1.95
1.42
0.99
0.29
0.00
0.00
0.00
0.00
0.00
0.00
