全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.67
1.35
1.97
2.40
2.40
2.47
2.28
1.77
1.15
0.50
0.00
0.00
0.00
0.00
0.00
0.00
0.00
