全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.40
0.15
0.34
0.30
0.38
0.11
0.11
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
