全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.20
0.68
0.78
0.03
0.16
0.36
1.03
1.30
1.05
0.36
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
