全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.00
0.59
1.33
2.01
2.68
3.03
3.58
3.57
3.00
2.83
1.31
0.75
0.41
0.03
0.00
0.00
0.00
0.00
0.00
