全天空日射量(MJ/㎡)
0.00
0.00
0.00
0.00
0.00
0.12
0.82
1.60
1.98
2.55
3.22
3.28
3.07
3.00
2.67
2.06
1.12
0.52
0.00
0.00
0.00
0.00
0.00
0.00
