,Local_Time,YEAR,MONTH,DAY,HOUR,OPTPWR,kwh,ACV1,ACV2,ACCL1,ACCL2,ACF1,IIT,IHT,DCVL1,DCVL2,DCCL1,DCCL2,IPA,IPB,TOTALKWH
0,2020-03-01 06:00:00,2020,3,1,6,1.54,3.1000000000000005,231.0,228.0,3.0,2.7,60.1,31.0,25.0,778.0,771.0,0.8,0.8,0.78,0.78,43355.0
1,2020-03-01 07:00:00,2020,3,1,7,4.85,7.349,231.0,228.0,7.5,6.8,60.2,37.0,38.0,770.0,780.0,3.0,3.0,2.42,2.42,43358.0
2,2020-03-01 08:00:00,2020,3,1,8,9.62,7.851000000000001,233.0,228.0,14.3,13.6,60.1,39.0,42.0,772.0,771.0,6.4,6.6,4.89,4.89,43365.0
3,2020-03-01 09:00:00,2020,3,1,9,15.28,3.6950000000000003,232.0,228.0,22.3,21.6,60.1,41.0,36.0,780.0,770.0,8.9,10.6,6.77,8.1,43373.0
4,2020-03-01 10:00:00,2020,3,1,10,7.55,7.912,231.0,227.0,11.4,10.6,60.1,41.0,46.0,778.0,760.0,4.8,4.9,3.76,3.77,43376.0
5,2020-03-01 11:00:00,2020,3,1,11,9.77,10.976,230.0,227.0,14.7,13.9,60.1,41.0,49.0,780.0,760.0,6.2,6.5,4.91,4.94,43384.0
6,2020-03-01 12:00:00,2020,3,1,12,17.27,9.042,232.0,229.0,25.2,24.8,60.3,38.0,38.0,773.0,762.0,11.5,11.6,8.84,8.61,43395.0
7,2020-03-01 13:00:00,2020,3,1,13,18.81,4.745,233.0,229.0,27.3,26.3,60.1,41.0,41.0,779.0,768.0,12.2,13.1,9.07,9.65,43404.0
8,2020-03-01 14:00:00,2020,3,1,14,7.51,1.6210000000000002,231.0,228.0,11.3,10.6,60.2,40.0,38.0,767.0,758.0,4.7,4.9,3.69,3.81,43409.0
9,2020-03-01 15:00:00,2020,3,1,15,2.61,1.1349999999999996,230.0,228.0,4.4,3.9,60.1,39.0,39.0,748.0,740.0,1.5,1.6,1.29,1.32,43410.0
10,2020-03-01 16:00:00,2020,3,1,16,1.5,0.5,230.0,227.0,3.0,2.7,60.1,38.0,38.0,736.0,738.0,0.8,0.8,0.76,0.88,43411.0
11,2020-03-01 17:00:00,2020,3,1,17,0.82,0.028999999999999998,231.0,228.0,2.3,2.1,60.1,37.0,37.0,716.0,702.0,0.4,0.4,0.43,0.42,43412.0
12,2020-03-01 18:00:00,2020,3,1,18,0.1,0.0,230.0,228.0,1.9,1.7,60.1,36.0,36.0,208.0,219.0,0.0,0.0,0.0,0.13,43412.0
24,2020-03-02 06:00:00,2020,3,2,6,0.81,2.11,229.0,226.0,2.3,2.1,60.1,29.0,22.0,759.0,752.0,0.3,0.3,0.42,0.39,43412.0
25,2020-03-02 07:00:00,2020,3,2,7,4.1,9.387000000000002,233.0,230.0,6.5,5.9,60.2,32.0,29.0,787.0,775.0,2.5,2.5,2.08,2.09,43414.0
26,2020-03-02 08:00:00,2020,3,2,8,15.64,12.937999999999999,230.0,227.0,23.3,22.5,60.1,32.0,33.0,806.0,787.0,10.4,10.5,7.96,7.87,43424.0
27,2020-03-02 09:00:00,2020,3,2,9,19.73,18.076,230.0,227.0,29.7,28.4,60.5,33.0,38.0,820.0,787.0,13.0,13.5,10.04,10.02,43439.0
28,2020-03-02 10:00:00,2020,3,2,10,24.47,20.385,233.0,228.0,36.1,35.0,60.5,35.0,42.0,799.0,768.0,16.5,16.6,12.44,12.46,43457.0
29,2020-03-02 11:00:00,2020,3,2,11,26.22,19.574,233.0,229.0,37.9,38.0,60.5,37.0,46.0,788.0,809.0,17.5,17.7,13.3,13.23,43476.0
30,2020-03-02 12:00:00,2020,3,2,12,26.25,20.761999999999997,234.0,232.0,38.7,37.3,60.3,37.0,45.0,819.0,807.0,16.8,17.3,13.07,13.33,43496.0
31,2020-03-02 13:00:00,2020,3,2,13,26.43,18.084999999999997,233.0,229.0,39.4,37.5,60.5,37.0,45.0,801.0,799.0,17.7,17.8,13.28,13.16,43515.0
32,2020-03-02 14:00:00,2020,3,2,14,26.24,12.499999999999996,232.0,228.0,38.3,36.4,60.5,37.0,42.0,793.0,793.0,17.0,17.3,13.18,13.2,43532.0
33,2020-03-02 15:00:00,2020,3,2,15,19.14,5.495,230.0,228.0,28.6,27.3,60.1,35.0,38.0,796.0,792.0,12.5,12.9,9.84,9.73,43545.0
34,2020-03-02 16:00:00,2020,3,2,16,10.99,1.3759999999999997,229.0,227.0,16.4,15.8,60.2,35.0,31.0,839.0,815.0,7.2,7.3,5.58,5.73,43550.0
35,2020-03-02 17:00:00,2020,3,2,17,3.34,0.037000000000000005,231.0,228.0,5.4,4.9,60.2,34.0,30.0,791.0,776.0,2.6,2.7,1.48,1.89,43552.0
36,2020-03-02 18:00:00,2020,3,2,18,0.11,0.0,228.0,225.0,1.9,1.7,60.1,33.0,30.0,220.0,223.0,0.0,0.0,0.0,0.13,43552.0
48,2020-03-03 06:00:00,2020,3,3,6,0.93,3.7089999999999996,230.0,226.0,2.3,2.1,60.2,30.0,24.0,761.0,754.0,0.4,0.5,0.48,0.47,43552.0
49,2020-03-03 07:00:00,2020,3,3,7,5.67,4.753000000000001,229.0,226.0,8.8,8.1,60.2,37.0,38.0,775.0,776.0,3.7,3.5,2.95,2.81,43556.0
50,2020-03-03 08:00:00,2020,3,3,8,5.39,5.081,232.0,229.0,8.3,7.8,60.2,39.0,46.0,776.0,778.0,3.4,3.5,2.7,2.75,43560.0
51,2020-03-03 09:00:00,2020,3,3,9,5.96,11.200000000000003,231.0,228.0,9.2,8.4,60.1,39.0,49.0,774.0,761.0,3.8,3.8,2.96,3.02,43565.0
52,2020-03-03 10:00:00,2020,3,3,10,21.02,14.793000000000001,233.0,229.0,31.3,30.0,60.4,39.0,42.0,788.0,776.0,14.2,14.3,10.64,10.61,43576.0
53,2020-03-03 11:00:00,2020,3,3,11,24.61,21.8,236.0,230.0,36.5,35.1,60.0,38.0,45.0,916.0,916.0,16.7,17.0,12.48,12.48,43587.0
54,2020-03-03 12:00:00,2020,3,3,12,22.97,22.345000000000002,235.0,232.0,33.7,32.6,60.5,40.0,46.0,750.0,741.0,15.9,16.0,11.69,11.73,43609.0
55,2020-03-03 13:00:00,2020,3,3,13,22.47,17.941000000000003,233.0,228.0,33.1,32.2,60.5,40.0,46.0,757.0,750.0,15.6,15.6,11.42,11.33,43631.0
56,2020-03-03 14:00:00,2020,3,3,14,20.26,13.647,231.0,228.0,29.7,29.6,60.4,39.0,43.0,766.0,755.0,13.8,13.9,10.31,10.28,43649.0
57,2020-03-03 15:00:00,2020,3,3,15,17.13,7.028999999999999,230.0,226.0,25.7,24.8,60.2,37.0,38.0,795.0,779.0,11.4,11.5,8.61,8.61,43663.0
58,2020-03-03 16:00:00,2020,3,3,16,10.85,1.3769999999999996,228.0,225.0,16.2,15.4,60.1,37.0,33.0,797.0,822.0,6.9,7.0,5.38,5.41,43670.0
59,2020-03-03 17:00:00,2020,3,3,17,3.25,0.028999999999999998,229.0,226.0,5.3,4.7,60.1,37.0,34.0,789.0,725.0,2.5,2.6,1.48,1.83,43671.0
60,2020-03-03 18:00:00,2020,3,3,18,0.1,0.0,227.0,225.0,1.8,1.7,60.1,36.0,34.0,221.0,219.0,0.0,0.0,0.0,0.13,43671.0
72,2020-03-04 06:00:00,2020,3,4,6,0.9,0.663,227.0,224.0,2.3,2.0,60.1,32.0,25.0,755.0,749.0,0.4,0.4,0.46,0.45,43671.0
73,2020-03-04 07:00:00,2020,3,4,7,1.19,1.4360000000000002,229.0,226.0,2.6,2.3,60.2,33.0,28.0,729.0,719.0,0.6,0.6,0.61,0.6,43672.0
74,2020-03-04 08:00:00,2020,3,4,8,2.1,2.061,227.0,225.0,3.7,3.3,60.1,34.0,30.0,758.0,748.0,1.2,1.2,1.07,1.21,43674.0
75,2020-03-04 09:00:00,2020,3,4,9,2.75,2.546,227.0,224.0,4.6,4.1,60.1,33.0,31.0,769.0,762.0,1.6,1.6,1.38,1.36,43676.0
76,2020-03-04 10:00:00,2020,3,4,10,5.9,3.6499999999999995,228.0,225.0,9.2,8.5,60.1,34.0,33.0,782.0,771.0,3.7,3.7,2.98,2.85,43678.0
77,2020-03-04 11:00:00,2020,3,4,11,5.66,2.853,228.0,225.0,8.8,8.1,60.1,35.0,36.0,785.0,776.0,3.5,3.6,2.87,2.87,43682.0
78,2020-03-04 12:00:00,2020,3,4,12,3.41,2.118,230.0,227.0,5.6,5.0,60.1,35.0,36.0,780.0,772.0,2.0,2.1,1.71,1.74,43685.0
79,2020-03-04 13:00:00,2020,3,4,13,3.27,3.0569999999999995,228.0,225.0,5.3,4.8,60.1,34.0,33.0,766.0,758.0,2.0,2.0,1.63,1.66,43687.0
80,2020-03-04 14:00:00,2020,3,4,14,5.93,5.123000000000001,230.0,226.0,9.1,8.6,60.1,34.0,36.0,790.0,773.0,3.7,3.7,3.0,2.97,43690.0
81,2020-03-04 15:00:00,2020,3,4,15,7.83,2.5390000000000006,229.0,226.0,11.8,11.0,60.1,34.0,39.0,796.0,783.0,4.9,5.0,3.91,3.94,43695.0
82,2020-03-04 16:00:00,2020,3,4,16,4.55,0.398,228.0,226.0,7.2,6.4,60.1,35.0,35.0,783.0,771.0,2.8,2.8,2.29,2.27,43698.0
83,2020-03-04 17:00:00,2020,3,4,17,1.32,0.016,228.0,226.0,2.8,2.5,60.1,34.0,31.0,732.0,736.0,0.7,0.7,0.69,0.69,43698.0
84,2020-03-04 18:00:00,2020,3,4,18,0.09,0.0,228.0,226.0,1.8,1.7,60.1,31.0,27.0,206.0,205.0,0.0,0.0,0.0,0.13,43698.0
96,2020-03-05 06:00:00,2020,3,5,6,0.15,0.619,228.0,226.0,1.8,1.8,60.1,25.0,18.0,773.0,766.0,0.0,0.0,0.0,0.19,43698.0
97,2020-03-05 07:00:00,2020,3,5,7,1.74,2.0320000000000005,229.0,227.0,3.2,3.0,60.2,27.0,21.0,768.0,752.0,0.9,0.9,0.89,0.88,43699.0
98,2020-03-05 08:00:00,2020,3,5,8,2.75,5.2509999999999994,227.0,225.0,4.6,4.0,60.1,29.0,25.0,780.0,764.0,1.6,1.6,1.38,1.38,43701.0
99,2020-03-05 09:00:00,2020,3,5,9,8.52,9.025,228.0,226.0,12.8,12.3,60.1,32.0,36.0,800.0,787.0,5.2,5.4,4.25,4.31,43706.0
100,2020-03-05 10:00:00,2020,3,5,10,11.06,7.683,230.0,228.0,16.5,15.7,60.1,30.0,30.0,796.0,790.0,6.9,7.1,5.54,5.52,43715.0
101,2020-03-05 11:00:00,2020,3,5,11,12.55,11.139,230.0,227.0,18.7,18.0,60.1,30.0,29.0,800.0,782.0,7.9,8.1,6.23,6.24,43723.0
102,2020-03-05 12:00:00,2020,3,5,12,15.43,14.139000000000001,233.0,230.0,22.5,22.0,60.1,31.0,33.0,790.0,784.0,10.1,10.1,7.73,7.76,43734.0
103,2020-03-05 13:00:00,2020,3,5,13,18.55,7.75,232.0,228.0,27.7,27.1,60.4,33.0,36.0,785.0,780.0,13.8,12.5,10.61,9.69,43748.0
104,2020-03-05 14:00:00,2020,3,5,14,13.9,3.9819999999999993,230.0,227.0,20.6,19.8,60.0,34.0,33.0,792.0,782.0,8.9,9.0,6.98,6.96,43756.0
105,2020-03-05 15:00:00,2020,3,5,15,6.12,1.7650000000000003,229.0,227.0,9.3,8.7,60.1,35.0,36.0,784.0,774.0,3.8,3.9,3.03,3.14,43760.0
106,2020-03-05 16:00:00,2020,3,5,16,2.11,0.8580000000000001,229.0,226.0,3.7,3.3,60.1,34.0,34.0,762.0,748.0,1.2,1.2,1.06,1.12,43762.0
107,2020-03-05 17:00:00,2020,3,5,17,1.58,0.033,230.0,228.0,3.2,2.9,60.1,33.0,31.0,762.0,747.0,0.9,0.9,0.86,0.85,43763.0
108,2020-03-05 18:00:00,2020,3,5,18,0.09,0.0,228.0,226.0,1.8,1.7,60.1,32.0,29.0,217.0,219.0,0.0,0.0,0.0,0.12,43763.0
120,2020-03-06 06:00:00,2020,3,6,6,1.23,3.0410000000000004,227.0,225.0,2.6,2.4,60.2,29.0,24.0,758.0,752.0,0.6,0.6,0.63,0.61,43763.0
121,2020-03-06 07:00:00,2020,3,6,7,4.53,5.0009999999999994,229.0,226.0,7.1,6.5,60.1,34.0,36.0,779.0,769.0,2.8,2.8,2.29,2.25,43766.0
122,2020-03-06 08:00:00,2020,3,6,8,6.24,8.164,230.0,228.0,9.5,8.9,60.1,37.0,46.0,771.0,767.0,4.0,3.9,3.13,3.13,43771.0
123,2020-03-06 09:00:00,2020,3,6,9,10.69,9.396,231.0,229.0,15.8,15.2,60.1,38.0,49.0,780.0,767.0,7.0,7.0,5.36,5.35,43779.0
124,2020-03-06 10:00:00,2020,3,6,10,11.37,6.809,231.0,228.0,16.9,16.1,60.1,35.0,33.0,766.0,760.0,7.4,7.5,5.69,5.67,43789.0
125,2020-03-06 11:00:00,2020,3,6,11,8.5,7.4990000000000006,231.0,228.0,12.9,12.2,60.2,38.0,33.0,774.0,761.0,5.4,5.6,4.24,4.29,43796.0
126,2020-03-06 12:00:00,2020,3,6,12,10.99,5.828999999999999,233.0,230.0,16.1,15.6,60.2,39.0,41.0,771.0,768.0,7.1,7.4,5.42,5.55,43803.0
127,2020-03-06 13:00:00,2020,3,6,13,7.74,6.982000000000001,230.0,227.0,11.7,11.2,60.1,40.0,46.0,771.0,760.0,5.0,5.0,3.92,3.91,43809.0
128,2020-03-06 14:00:00,2020,3,6,14,11.02,7.784,231.0,229.0,16.4,15.5,60.1,38.0,35.0,783.0,766.0,7.2,7.2,5.54,5.44,43816.0
129,2020-03-06 15:00:00,2020,3,6,15,12.97,4.632000000000001,232.0,229.0,19.2,18.5,60.1,38.0,37.0,792.0,784.0,8.4,8.5,6.46,6.51,43824.0
130,2020-03-06 16:00:00,2020,3,6,16,11.97,1.3009999999999997,232.0,228.0,17.6,16.9,60.0,38.0,36.0,772.0,768.0,7.9,8.0,5.97,6.17,43829.0
131,2020-03-06 17:00:00,2020,3,6,17,2.78,0.036000000000000004,230.0,228.0,4.6,4.1,60.1,38.0,38.0,810.0,802.0,1.5,1.6,1.37,1.45,43830.0
132,2020-03-06 18:00:00,2020,3,6,18,0.11,0.0,229.0,226.0,1.9,1.7,60.1,36.0,37.0,212.0,216.0,0.0,0.0,0.0,0.14,43830.0
144,2020-03-07 06:00:00,2020,3,7,6,1.69,3.5629999999999997,231.0,228.0,2.9,2.9,60.1,31.0,25.0,752.0,743.0,0.9,0.9,0.85,0.85,43831.0
145,2020-03-07 07:00:00,2020,3,7,7,5.97,9.335999999999999,232.0,230.0,9.2,8.7,60.1,39.0,39.0,776.0,775.0,3.9,3.8,3.15,2.92,43834.0
146,2020-03-07 08:00:00,2020,3,7,8,13.62,7.711000000000002,232.0,229.0,20.1,19.2,60.1,40.0,45.0,794.0,755.0,9.1,9.3,6.77,6.86,43843.0
147,2020-03-07 09:00:00,2020,3,7,9,10.85,15.378,232.0,229.0,16.2,15.3,60.1,41.0,39.0,757.0,750.0,7.2,7.3,5.47,5.47,43851.0
148,2020-03-07 10:00:00,2020,3,7,10,21.97,19.381,233.0,230.0,31.8,30.6,60.3,42.0,43.0,762.0,737.0,15.7,16.0,11.12,10.93,43867.0
149,2020-03-07 11:00:00,2020,3,7,11,23.25,20.262999999999998,233.0,230.0,34.0,33.3,60.5,43.0,48.0,728.0,710.0,17.2,17.0,11.89,11.79,43887.0
150,2020-03-07 12:00:00,2020,3,7,12,23.18,18.044,234.0,232.0,34.1,33.1,60.5,44.0,48.0,722.0,714.0,17.0,17.3,11.7,11.79,43907.0
151,2020-03-07 13:00:00,2020,3,7,13,21.31,14.54,232.0,229.0,31.6,30.4,60.3,44.0,46.0,738.0,735.0,15.3,15.3,10.77,10.69,43925.0
152,2020-03-07 14:00:00,2020,3,7,14,19.24,14.18,232.0,229.0,28.2,27.6,60.3,43.0,45.0,755.0,748.0,13.8,14.0,9.79,10.07,43939.0
153,2020-03-07 15:00:00,2020,3,7,15,17.0,7.539999999999999,232.0,229.0,25.1,24.3,60.3,39.0,39.0,773.0,747.0,11.6,11.6,8.6,8.45,43953.0
154,2020-03-07 16:00:00,2020,3,7,16,11.15,1.5110000000000001,230.0,227.0,16.7,16.1,60.1,39.0,36.0,779.0,800.0,7.3,7.5,5.58,5.61,43961.0
155,2020-03-07 17:00:00,2020,3,7,17,2.88,0.034,230.0,227.0,4.8,4.2,60.1,39.0,37.0,768.0,820.0,2.1,2.3,1.55,1.64,43962.0
156,2020-03-07 18:00:00,2020,3,7,18,0.1,0.0,228.0,226.0,1.8,1.7,60.2,38.0,37.0,211.0,215.0,0.0,0.0,0.0,0.13,43962.0
168,2020-03-08 06:00:00,2020,3,8,6,1.37,2.2150000000000003,228.0,226.0,2.7,2.4,60.1,33.0,28.0,736.0,729.0,0.6,0.7,0.62,0.68,43962.0
169,2020-03-08 07:00:00,2020,3,8,7,4.01,6.571,229.0,226.0,6.3,5.7,60.1,37.0,37.0,758.0,752.0,2.5,2.5,2.04,2.01,43965.0
170,2020-03-08 08:00:00,2020,3,8,8,12.54,11.586999999999998,230.0,227.0,18.5,17.7,60.1,39.0,42.0,770.0,762.0,7.8,8.7,5.88,6.52,43971.0
171,2020-03-08 09:00:00,2020,3,8,9,18.97,18.825000000000006,232.0,229.0,27.6,26.7,60.3,40.0,41.0,781.0,750.0,13.1,13.3,9.7,9.52,43983.0
172,2020-03-08 10:00:00,2020,3,8,10,21.11,21.031000000000006,237.0,233.0,30.9,29.9,60.4,42.0,46.0,757.0,746.0,14.8,15.1,10.75,10.63,44001.0
173,2020-03-08 11:00:00,2020,3,8,11,23.55,21.223999999999997,235.0,232.0,34.7,33.6,60.4,44.0,49.0,732.0,736.0,17.3,17.2,12.3,11.98,44022.0
174,2020-03-08 12:00:00,2020,3,8,12,22.84,20.966999999999995,233.0,229.0,33.5,32.2,60.5,44.0,49.0,747.0,730.0,15.9,16.2,11.46,11.54,44043.0
175,2020-03-08 13:00:00,2020,3,8,13,21.97,16.821,233.0,229.0,32.5,31.8,60.4,43.0,48.0,740.0,743.0,15.4,15.5,11.1,11.04,44064.0
176,2020-03-08 14:00:00,2020,3,8,14,19.9,5.736,232.0,229.0,29.1,28.2,60.5,42.0,46.0,779.0,760.0,13.6,13.9,9.95,10.01,44081.0
177,2020-03-08 15:00:00,2020,3,8,15,13.89,2.402,231.0,228.0,20.6,19.9,60.1,41.0,38.0,766.0,756.0,9.2,9.3,6.94,6.91,44087.0
178,2020-03-08 16:00:00,2020,3,8,16,3.71,0.523,230.0,228.0,5.9,5.3,60.1,40.0,39.0,759.0,753.0,2.3,2.4,1.83,1.92,44089.0
179,2020-03-08 17:00:00,2020,3,8,17,1.27,0.035,229.0,227.0,2.7,2.5,60.1,39.0,39.0,712.0,717.0,0.7,0.7,0.64,0.68,44090.0
180,2020-03-08 18:00:00,2020,3,8,18,0.12,0.0,229.0,227.0,1.8,1.7,60.1,38.0,37.0,207.0,219.0,0.0,0.0,0.0,0.14,44090.0
192,2020-03-09 06:00:00,2020,3,9,6,1.71,3.8730000000000007,228.0,225.0,3.2,2.9,60.1,34.0,28.0,748.0,739.0,1.0,1.0,0.81,0.87,44090.0
193,2020-03-09 07:00:00,2020,3,9,7,6.33,8.479999999999999,230.0,228.0,9.7,9.1,60.2,42.0,43.0,777.0,771.0,4.3,4.3,3.31,3.14,44094.0
194,2020-03-09 08:00:00,2020,3,9,8,12.11,10.485999999999999,233.0,231.0,17.8,17.3,60.2,44.0,49.0,783.0,762.0,8.5,7.9,6.16,5.99,44103.0
195,2020-03-09 09:00:00,2020,3,9,9,14.7,9.614,232.0,228.0,21.7,20.6,60.1,38.0,36.0,782.0,763.0,9.8,9.8,7.6,7.37,44114.0
196,2020-03-09 10:00:00,2020,3,9,10,18.47,11.619,232.0,229.0,27.3,26.7,60.2,39.0,36.0,775.0,765.0,12.3,12.9,9.32,9.47,44124.0
197,2020-03-09 11:00:00,2020,3,9,11,19.16,7.671000000000002,233.0,230.0,26.3,25.4,60.1,37.0,39.0,765.0,775.0,11.3,11.7,8.55,8.54,44136.0
198,2020-03-09 12:00:00,2020,3,9,12,15.27,3.0680000000000005,234.0,230.0,22.3,21.6,60.0,40.0,36.0,774.0,766.0,9.7,10.4,7.37,7.8,44144.0
199,2020-03-09 13:00:00,2020,3,9,13,4.21,1.729,230.0,227.0,6.6,6.1,60.2,39.0,41.0,770.0,763.0,2.6,2.6,2.13,2.1,44147.0
200,2020-03-09 14:00:00,2020,3,9,14,2.73,1.7109999999999999,230.0,228.0,4.6,4.1,60.1,39.0,42.0,758.0,748.0,1.6,1.7,1.35,1.39,44148.0
201,2020-03-09 15:00:00,2020,3,9,15,2.69,1.3860000000000001,230.0,228.0,4.5,4.0,60.1,39.0,42.0,747.0,746.0,1.6,1.7,1.37,1.35,44150.0
202,2020-03-09 16:00:00,2020,3,9,16,2.63,0.5680000000000001,231.0,229.0,4.4,4.0,60.1,40.0,42.0,746.0,742.0,1.6,1.6,1.35,1.35,44152.0
203,2020-03-09 17:00:00,2020,3,9,17,1.42,0.031000000000000003,227.0,224.0,2.9,2.6,60.1,40.0,42.0,721.0,731.0,0.8,0.8,0.69,0.72,44152.0
204,2020-03-09 18:00:00,2020,3,9,18,0.1,0.0,228.0,226.0,1.8,1.7,60.0,39.0,39.0,428.0,226.0,0.0,0.0,0.0,0.11,44152.0
216,2020-03-10 06:00:00,2020,3,10,6,0.13,0.28500000000000003,227.0,225.0,1.8,1.7,60.2,31.0,24.0,743.0,737.0,0.4,0.4,0.08,0.16,44152.0
217,2020-03-10 07:00:00,2020,3,10,7,0.89,1.9120000000000004,227.0,225.0,2.6,2.1,60.1,33.0,28.0,706.0,710.0,0.4,0.4,0.47,0.46,44152.0
218,2020-03-10 08:00:00,2020,3,10,8,3.11,2.2810000000000006,227.0,225.0,5.1,4.6,60.1,35.0,33.0,768.0,752.0,1.8,1.8,1.57,1.56,44154.0
219,2020-03-10 09:00:00,2020,3,10,9,3.89,2.5070000000000006,229.0,227.0,6.2,5.7,60.1,36.0,38.0,768.0,760.0,2.4,2.4,1.98,1.95,44157.0
220,2020-03-10 10:00:00,2020,3,10,10,4.09,4.981999999999999,233.0,231.0,6.4,5.9,60.1,35.0,39.0,776.0,767.0,2.5,2.5,2.08,2.03,44159.0
221,2020-03-10 11:00:00,2020,3,10,11,8.06,4.88,232.0,228.0,12.0,11.5,60.1,35.0,43.0,788.0,776.0,5.1,5.3,4.05,4.06,44164.0
222,2020-03-10 12:00:00,2020,3,10,12,8.91,4.785000000000001,232.0,229.0,13.4,12.8,60.2,35.0,37.0,782.0,775.0,5.7,5.8,4.46,4.49,44169.0
223,2020-03-10 13:00:00,2020,3,10,13,7.97,4.452999999999999,231.0,227.0,12.2,11.6,60.1,36.0,38.0,782.0,782.0,5.1,5.0,4.01,4.16,44174.0
224,2020-03-10 14:00:00,2020,3,10,14,8.26,3.1610000000000005,230.0,228.0,12.2,11.8,60.1,35.0,37.0,782.0,783.0,5.2,5.3,4.1,4.06,44178.0
225,2020-03-10 15:00:00,2020,3,10,15,4.04,1.755,230.0,228.0,6.7,5.5,60.1,35.0,36.0,769.0,768.0,2.5,2.5,2.03,2.02,44182.0
226,2020-03-10 16:00:00,2020,3,10,16,2.41,0.45400000000000007,230.0,227.0,4.2,3.6,60.1,34.0,35.0,757.0,761.0,1.4,1.4,1.21,1.23,44183.0
227,2020-03-10 17:00:00,2020,3,10,17,1.13,0.032,228.0,226.0,2.6,2.3,60.1,33.0,33.0,733.0,726.0,0.6,0.6,0.57,0.57,44184.0
228,2020-03-10 18:00:00,2020,3,10,18,0.1,0.0,230.0,226.0,1.9,1.7,60.1,32.0,29.0,319.0,217.0,0.0,0.0,0.0,0.13,44184.0
240,2020-03-11 06:00:00,2020,3,11,6,1.82,3.808,228.0,226.0,3.2,3.1,60.1,29.0,24.0,764.0,758.0,1.0,1.0,0.92,0.92,44185.0
241,2020-03-11 07:00:00,2020,3,11,7,6.63,10.004999999999999,231.0,229.0,10.0,9.4,60.2,36.0,37.0,778.0,775.0,4.3,4.1,3.44,3.22,44188.0
242,2020-03-11 08:00:00,2020,3,11,8,12.85,15.245000000000001,233.0,229.0,18.8,18.1,60.2,36.0,41.0,780.0,765.0,8.4,8.5,6.51,6.42,44198.0
243,2020-03-11 09:00:00,2020,3,11,9,17.76,20.065,235.0,231.0,25.9,25.1,60.2,35.0,37.0,772.0,768.0,11.8,11.8,8.92,8.9,44214.0
244,2020-03-11 10:00:00,2020,3,11,10,21.5,21.932999999999996,234.0,230.0,31.9,30.7,60.4,37.0,42.0,764.0,754.0,14.4,14.7,10.86,10.85,44234.0
245,2020-03-11 11:00:00,2020,3,11,11,24.3,19.445999999999994,234.0,231.0,35.4,35.3,60.5,39.0,46.0,786.0,748.0,16.4,17.0,12.4,12.5,44256.0
246,2020-03-11 12:00:00,2020,3,11,12,26.03,20.080000000000002,233.0,228.0,37.9,37.5,60.5,40.0,46.0,764.0,770.0,18.2,17.5,12.98,12.8,44275.0
247,2020-03-11 13:00:00,2020,3,11,13,23.42,12.199,232.0,228.0,34.5,33.4,60.5,40.0,46.0,763.0,762.0,16.7,17.2,11.39,12.37,44294.0
248,2020-03-11 14:00:00,2020,3,11,14,18.63,4.523999999999999,231.0,228.0,27.9,27.6,60.1,40.0,41.0,788.0,762.0,13.7,13.2,9.73,9.41,44306.0
249,2020-03-11 15:00:00,2020,3,11,15,7.04,2.11,228.0,226.0,10.9,10.2,60.1,38.0,36.0,768.0,762.0,4.5,4.6,3.52,3.57,44311.0
250,2020-03-11 16:00:00,2020,3,11,16,4.09,0.466,229.0,226.0,6.5,6.0,60.1,38.0,38.0,767.0,761.0,2.5,2.5,2.03,2.05,44313.0
251,2020-03-11 17:00:00,2020,3,11,17,0.96,0.033,229.0,226.0,2.4,2.1,60.1,37.0,37.0,726.0,725.0,0.5,0.5,0.44,0.52,44313.0
252,2020-03-11 18:00:00,2020,3,11,18,0.11,0.0,228.0,225.0,1.8,1.7,60.1,35.0,36.0,218.0,219.0,0.0,0.0,0.0,0.13,44313.0
264,2020-03-12 06:00:00,2020,3,12,6,0.13,0.09800000000000002,229.0,226.0,1.8,1.7,60.1,30.0,24.0,760.0,754.0,0.0,0.0,0.0,0.18,44313.0
265,2020-03-12 07:00:00,2020,3,12,7,0.12,0.343,228.0,225.0,1.8,1.7,60.1,31.0,28.0,219.0,576.0,0.0,0.0,0.0,0.15,44313.0
266,2020-03-12 08:00:00,2020,3,12,8,0.66,1.149,226.0,223.0,2.2,1.9,60.1,33.0,31.0,700.0,712.0,0.3,0.3,0.35,0.34,44314.0
267,2020-03-12 09:00:00,2020,3,12,9,2.04,2.678,227.0,225.0,3.7,3.2,60.1,35.0,35.0,748.0,747.0,1.2,1.2,1.02,1.06,44315.0
268,2020-03-12 10:00:00,2020,3,12,10,4.98,6.657999999999999,227.0,223.0,7.8,7.3,60.1,37.0,42.0,763.0,765.0,3.2,3.2,2.45,2.54,44318.0
269,2020-03-12 11:00:00,2020,3,12,11,9.98,7.413,232.0,229.0,15.0,14.2,60.1,38.0,46.0,766.0,765.0,6.7,6.7,4.97,5.06,44324.0
270,2020-03-12 12:00:00,2020,3,12,12,13.84,5.051,231.0,228.0,20.5,19.6,60.1,37.0,33.0,764.0,755.0,9.1,9.3,6.94,6.98,44332.0
271,2020-03-12 13:00:00,2020,3,12,13,7.68,4.459999999999999,230.0,226.0,11.7,10.8,60.1,39.0,38.0,774.0,762.0,4.9,5.0,3.85,3.81,44337.0
272,2020-03-12 14:00:00,2020,3,12,14,6.43,3.828,229.0,227.0,9.9,9.1,60.1,40.0,45.0,766.0,756.0,4.1,4.2,3.18,3.21,44341.0
